132000;3;2.5;1346
105000;3;1;1248
139900;4;1.5;1496
275000;4;2.5;2358
195000;3;2.5;1894
32900;4;1;1348
21900;3;1;987
129900;3;1;1160
214900;2;1.5;1812
34900;4;1;1616
59000;4;2;1742
34500;3;1.5;1144
119000;2;1;1080
144900;3;1;1509
89900;3;2;1400
209900;3;2.5;1832
199900;4;2.5;2302
36500;3;1;1160
90000;3;1;1398
34900;3;1;1474
55000;4;1;1582
59900;4;1;1452
139900;4;1.5;1819
92900;3;1.5;1450
215000;3;1.5;1716
354900;4;3.5;2570
164900;3;1.5;1287
99900;4;1.5;1830
109900;2;1.5;1032
489900;3;3;2405
29900;3;1;914
17000;4;1;1652
199900;3;1.5;1518
45000;4;2;1325
229900;3;1.5;1480
85000;3;1.5;1094
90000;2;1;1223
224900;3;2;1670
249900;4;2;2039
149900;2;2;1722
159900;3;2;1755
329900;3;2;1864
149900;3;2;1653
125900;4;2;1936
389000;5;3;2681
750000;4;3.5;2717
214900;4;1.5;2255
139900;2;1;1232
349900;3;2;2118
121800;2;1.5;1232
59900;4;1;1514
24900;2;1;875
40000;3;1.5;1125
115000;1;1;1464
104900;3;1;936
114995;3;1;1224
29900;5;1;1652
475000;3;2.5;1938
69900;3;1;1212
49900;3;1;1428
29900;4;1;1100
80000;4;2;1565
74900;3;1;1297
24900;4;2;1334
169900;4;1.5;1774
129900;3;2.5;1648
149900;2;2;1162
260000;3;2.5;2015
529900;4;2.5;2800
825000;4;3.5;3347
29900;4;2;1980
159900;3;2;1720
214900;3;1.5;1349
174900;4;2.5;2305
84900;4;2;1596
249900;5;3;2624
39900;2;1;1037
168500;4;2.5;2236
119900;3;2;1711
21900;3;1.5;981
24900;1;1;929
133888;2;1;953
159900;6;2;2522
104900;3;1;1240
59900;4;1;1797
99900;3;2.5;1428
104500;3;1;1258
114900;3;1;1260
44900;3;1;1329
29900;2;1;962
104900;3;1;1389
54900;2;1;1130
314900;4;3.5;2792
89900;1;1;792
59900;2;1;1129
105000;3;1;1300
89900;3;2;1400
199900;4;2.5;2302
164900;3;1.5;1287
209900;3;2.5;1832
32900;4;1;1348
209900;3;2;1568
354900;4;3.5;2570
21900;4;1.5;944
194000;4;2;1813
284900;4;4.5;2387
199900;3;1.5;1518
124900;3;2;1454
489900;3;3;2405
92900;3;1.5;1450
174900;3;2;1727
199900;4;1.5;1658
34900;3;1;1474
189900;3;1.5;1980
349900;4;2.5;2917
169900;3;2.5;1820
229900;3;1.5;1480
39900;3;1;1197
109900;2;1.5;1032
99900;2;1;1472
239900;4;2;2147
45000;4;2;1325
39900;3;1;1335
59900;3;1;1608
90000;2;1;1223
115000;3;1;964
104900;3;1;1200
80000;2;1;1311
185900;2;2;1306
184900;4;2;1638
199900;4;2.5;1852
169900;4;3.5;2411
189900;3;1.5;1542
159900;4;1.5;1643
224900;3;2.5;2256
199900;4;1.5;2071
349900;3;3;2815
239900;3;2;1728
379900;4;3;3466
124900;3;2;1652
229900;3;2.5;2612
129000;3;2.5;1394
235000;5;3;2635
88100;3;2;1328
55900;4;2;1576
39900;3;1;1074
45900;3;2;1239
99000;2;1;911
179900;4;2;1586
79900;3;1.5;1060
94900;2;1.5;886
79900;3;1.5;1363
38500;2;1;776
33500;3;1;1338
164500;3;1.5;1200
109900;3;1;1158
109900;3;1;1408
479722;4;2.5;2599
53999;3;1;1150
